Timestap,Event
8:49,Normal_Operation
8:50,Normal_Operation
8:51,LoadUp
8:52,LoadUp
8:53,LoadUp
8:54,LoadUp
8:55,LoadUp
8:56,LoadUp
8:57,LoadUp
8:58,LoadUp
8:59,LoadUp
9:00,LoadUp
9:01,LoadUp
9:02,LoadUp
9:03,LoadUp
9:04,LoadUp
9:05,LoadUp
9:06,LoadUp
9:07,LoadUp
9:08,LoadUp
9:09,LoadUp
9:10,LoadUp
9:11,LoadUp
9:12,LoadUp
9:13,Normal_Operation
9:14,Normal_Operation
9:15,Normal_Operation
9:16,Normal_Operation
9:17,Normal_Operation
9:18,Normal_Operation
9:19,Normal_Operation
9:20,Normal_Operation
9:21,Normal_Operation
