Timestap,Hot water flow (gpm),Ambient temperature [F],Inlet cold water temperature [F]
8:49,0,71.6,50
8:50,0,71.6,50
8:51,0,71.6,50
8:52,0,71.6,50
8:53,0,71.6,50
8:54,0,71.6,50
8:55,0,71.6,50
8:56,0,71.6,50
8:57,0,71.6,50
8:58,0,71.6,50
8:59,0.85,71.6,50
9:00,0.36,71.6,50
9:01,0.35,71.6,50
9:02,0.34,71.6,50
9:03,0.34,71.6,50
9:04,0.35,71.6,50
9:05,0,71.6,50
9:06,0,71.6,50
9:07,0,71.6,50
9:08,0,71.6,50
9:09,0,71.6,50
9:10,0,71.6,50
9:11,0,71.6,50
9:12,0,71.6,50
9:13,0,71.6,50
9:14,0,71.6,50
9:15,0,71.6,50
9:16,0,71.6,50
9:17,0,71.6,50
9:18,0,71.6,50
9:19,0,71.6,50
9:20,0,71.6,50
9:21,0,71.6,50
