Timestap,Event 
2:49,Normal_Operation
2:50,Normal_Operation
2:51,Normal_Operation
2:52,Normal_Operation
2:53,Normal_Operation
2:54,Normal_Operation
2:55,Normal_Operation
2:56,Normal_Operation
2:57,Normal_Operation
2:58,Normal_Operation
2:59,Normal_Operation
3:00,Normal_Operation
3:01,Normal_Operation
3:02,Normal_Operation
3:03,Normal_Operation
3:04,Normal_Operation
3:05,Normal_Operation
3:06,Normal_Operation
3:07,Normal_Operation
3:08,Normal_Operation
3:09,Normal_Operation
3:10,Normal_Operation
3:11,Shed
3:12,Shed
3:13,Shed
3:14,Shed
3:15,Shed
3:16,Shed
3:17,Shed
3:18,Shed
3:19,Shed
3:20,Shed
3:21,Shed
3:22,Shed
3:23,Shed
3:24,Shed
3:25,Shed
3:26,Shed
3:27,Shed
3:28,Shed
3:29,Shed
3:30,Shed
3:31,Shed
3:32,Shed
3:33,Shed
3:34,Shed
3:35,Shed
3:36,Shed
3:37,Shed
3:38,Shed
3:39,Shed
3:40,Shed
3:41,Shed
3:42,Shed
3:43,Shed
3:44,Shed
3:45,Shed
3:46,Shed
3:47,Shed
3:48,Shed
3:49,Shed
3:50,Shed
3:51,Shed
3:52,Shed
3:53,Shed
3:54,Shed
3:55,Shed
3:56,Shed
3:57,Shed
3:58,Shed
3:59,Shed
4:00,Shed
4:01,Shed
4:02,Shed
4:03,Shed
4:04,Shed
4:05,Shed
4:06,Shed
4:07,Shed
4:08,Shed
4:09,Shed
4:10,Shed
4:11,Shed
4:12,Shed
4:13,Shed
4:14,Shed
4:15,Shed
4:16,Shed
4:17,Normal_Operation
4:18,Normal_Operation
4:19,Normal_Operation
4:20,Normal_Operation
4:21,Normal_Operation
4:22,Normal_Operation
4:23,Normal_Operation
4:24,Normal_Operation
4:25,Normal_Operation
4:26,Normal_Operation
4:27,Normal_Operation
4:28,Normal_Operation
4:29,Normal_Operation
4:30,Normal_Operation
4:31,Normal_Operation
4:32,Normal_Operation
4:33,Normal_Operation
4:34,Normal_Operation
4:35,Normal_Operation
