Timestap,Hot water flow (gpm),Ambient temperature [F],Inlet cold water temperature [F]
2:49,0,71.6,50
2:50,0,71.6,50
2:51,0,71.6,50
2:52,0.9,71.6,50
2:53,0.6,71.6,50
2:54,0.6,71.6,50
2:55,0.6,71.6,50
2:56,0.6,71.6,50
2:57,0.6,71.6,50
2:58,0.6,71.6,50
2:59,0.6,71.6,50
3:00,0.6,71.6,50
3:01,0.6,71.6,50
3:02,0.6,71.6,50
3:03,0,71.6,50
3:04,0,71.6,50
3:05,0,71.6,50
3:06,0,71.6,50
3:07,0,71.6,50
3:08,0,71.6,50
3:09,0,71.6,50
3:10,0,71.6,50
3:11,0,71.6,50
3:12,0,71.6,50
3:13,0,71.6,50
3:14,0.6,71.6,50
3:15,0.2,71.6,50
3:16,0.32,71.6,50
3:17,0.32,71.6,50
3:18,0.32,71.6,50
3:19,0.32,71.6,50
3:20,0.32,71.6,50
3:21,0.32,71.6,50
3:22,0.32,71.6,50
3:23,0.32,71.6,50
3:24,0.32,71.6,50
3:25,0.32,71.6,50
3:26,0.32,71.6,50
3:27,0.32,71.6,50
3:28,0.32,71.6,50
3:29,0.32,71.6,50
3:30,0.32,71.6,50
3:31,0.32,71.6,50
3:32,0.32,71.6,50
3:33,0.32,71.6,50
3:34,0.32,71.6,50
3:35,0.32,71.6,50
3:36,0.32,71.6,50
3:37,0.4,71.6,50
3:38,0.4,71.6,50
3:39,0.4,71.6,50
3:40,0.4,71.6,50
3:41,0.4,71.6,50
3:42,0.4,71.6,50
3:43,0.4,71.6,50
3:44,0.4,71.6,50
3:45,0.4,71.6,50
3:46,0.4,71.6,50
3:47,0.4,71.6,50
3:48,0.4,71.6,50
3:49,0.4,71.6,50
3:50,0.4,71.6,50
3:51,0.4,71.6,50
3:52,0.4,71.6,50
3:53,0.4,71.6,50
3:54,0.4,71.6,50
3:55,0.4,71.6,50
3:56,0.4,71.6,50
3:57,0.4,71.6,50
3:58,0.4,71.6,50
3:59,0.4,71.6,50
4:00,0.4,71.6,50
4:01,0,71.6,50
4:02,0,71.6,50
4:03,0,71.6,50
4:04,0,71.6,50
4:05,0,71.6,50
4:06,0,71.6,50
4:07,0,71.6,50
4:08,0,71.6,50
4:09,0,71.6,50
4:10,0,71.6,50
4:11,0,71.6,50
4:12,0,71.6,50
4:13,0,71.6,50
4:14,0,71.6,50
4:15,0,71.6,50
4:16,0,71.6,50
4:17,0,71.6,50
4:18,0,71.6,50
4:19,0,71.6,50
4:20,0,71.6,50
4:21,0,71.6,50
4:22,0,71.6,50
4:23,0,71.6,50
4:24,0,71.6,50
4:25,0,71.6,50
4:26,0,71.6,50
4:27,0,71.6,50
4:28,0,71.6,50
4:29,0,71.6,50
4:30,0,71.6,50
4:31,0,71.6,50
4:32,0,71.6,50
4:33,0,71.6,50
4:34,0,71.6,50
4:35,0,71.6,50
