TimeStap,How water draw [GPM],Ambient Temp [F],Inlet cold water Temp [F],Tank Temp [F],Power [W],EWH_ON_OFF,Energy take [Wh],Energy storage [Wh],Event type
8:49,0,71.6,50,122.99738231000055,0,0,300.31728395061623,8847.838303539716,Normal_Operation
8:50,0,71.6,50,122.99476475331433,0,0,300.6345517426536,8847.521035747679,Normal_Operation
8:51,0,71.6,50,122.99214732993457,5560,1,300.9518033769338,8847.2037841134,LoadUp
8:52,0,71.6,50,123.75405848872474,5560,1,208.6023721876122,8939.553215302722,LoadUp
8:53,0,71.6,50,124.51593084503979,5560,1,116.25764415359222,9031.89794333674,LoadUp
8:54,0,71.6,50,125.27776440085586,5560,1,23.917619035351493,9124.237968454983,LoadUp
8:55,0,71.6,50,126.03955915814895,5560,1,-68.41770340661682,9216.573290896951,LoadUp
8:56,0,71.6,50,126.80131511889502,0,0,-160.7483234118144,9308.903910902147,LoadUp
8:57,0,71.6,50,126.79850383619961,0,0,-160.4075745530561,9308.563162043392,LoadUp
8:58,0,71.6,50,126.79569269667671,0,0,-160.0668430478944,9308.222430538228,LoadUp
8:59,0.85,71.6,50,125.48735492447551,0,0,-1.4863475762958274,9149.641935066631,LoadUp
9:00,0.36,71.6,50,124.94110160345348,0,0,64.72371234954358,9083.43187514079,LoadUp
9:01,0.35,71.6,50,124.41379734615484,0,0,128.63700153480917,9019.518585955526,LoadUp
9:02,0.34,71.6,50,123.90509383258335,0,0,190.2957390140358,8957.8598484763,LoadUp
9:03,0.34,71.6,50,123.39987541006562,0,0,251.53205693325899,8896.623530557075,LoadUp
9:04,0.35,71.6,50,122.8834382274124,0,0,314.1281739645036,8834.02741352583,LoadUp
9:05,0,71.6,50,122.88082647365003,5560,1,314.44473839800537,8833.71084909233,LoadUp
9:06,0,71.6,50,123.64274330176883,5560,1,222.0946200429058,8926.06096744743,LoadUp
9:07,0,71.6,50,124.4046213271238,5560,1,129.74920487810144,9018.406382612233,LoadUp
9:08,0,71.6,50,125.16646055169107,5560,1,37.40849266407163,9110.747094826263,LoadUp
9:09,0,71.6,50,125.92826097744668,5560,1,-54.92751683869565,9203.083104329033,LoadUp
9:10,0,71.6,50,126.69002260636658,0,0,-147.2588238697004,9295.414411360034,LoadUp
9:11,0,71.6,50,126.68721699155633,0,0,-146.91876200175906,9295.074349492093,LoadUp
9:12,0,71.6,50,126.68441151962993,0,0,-146.5787174524294,9294.734304942764,LoadUp
9:13,0,71.6,50,126.6816061905801,0,0,-146.23869022082604,9294.39427771116,Normal_Operation
9:14,0,71.6,50,126.67880100439957,0,0,-145.89868030607053,9294.054267796402,Normal_Operation
9:15,0,71.6,50,126.67599596108106,0,0,-145.55868770727753,9293.714275197612,Normal_Operation
9:16,0,71.6,50,126.6731910606173,0,0,-145.21871242356855,9293.374299913901,Normal_Operation
9:17,0,71.6,50,126.67038630300098,0,0,-144.87875445405655,9293.03434194439,Normal_Operation
9:18,0,71.6,50,126.66758168822489,0,0,-144.5388137978665,9292.6944012882,Normal_Operation
9:19,0,71.6,50,126.6647772162817,0,0,-144.1988904541131,9292.354477944446,Normal_Operation
9:20,0,71.6,50,126.66197288716417,0,0,-143.85898442191439,9292.014571912247,Normal_Operation
9:21,0,71.6,50,126.659168700865,0,0,-143.5190957003885,9291.674683190722,Normal_Operation
