TimeStap,How water draw [GPM],Ambient Temp [F],Inlet cold water Temp [F],Tank Temp [F],Power [W],EWH_ON_OFF,Energy take [Wh],Energy storage [Wh],Event type
2:49,0,71.6,50,124.99728045435852,0,0,0.3296296296318219,9090.241179435781,Normal_Operation
2:50,0,71.6,50,124.9945610472176,0,0,0.6592424719407692,9089.91156659347,Normal_Operation
2:51,0,71.6,50,124.99184177857015,0,0,0.988838527788074,9089.581970537623,Normal_Operation
2:52,0.9,71.6,50,123.63926949639486,0,0,164.93089326770357,8925.639915797708,Normal_Operation
2:53,0.6,71.6,50,122.75294801583615,0,0,272.3598023158984,8818.211006749514,Normal_Operation
2:54,0.6,71.6,50,121.87730753146589,0,0,378.4940933352615,8712.07671573015,Normal_Operation
2:55,0.6,71.6,50,121.0122193273699,0,0,483.34936767421834,8607.221441391195,Normal_Operation
2:56,0.6,71.6,50,120.1575562387803,0,0,586.9410386704628,8503.62977039495,Normal_Operation
2:57,0.6,71.6,50,119.31319263338256,0,0,689.2843339166758,8401.286475148736,Normal_Operation
2:58,0.6,71.6,50,118.47900439284814,5560,1,790.3942974989131,8300.176511566498,Normal_Operation
2:59,0.6,71.6,50,118.41939734345978,5560,1,797.6191255413713,8292.951683524041,Normal_Operation
3:00,0.6,71.6,50,118.36050861432122,5560,1,804.7568877025706,8285.813921362846,Normal_Operation
3:01,0.6,71.6,50,118.302329549007,5560,1,811.8086332071595,8278.762175858254,Normal_Operation
3:02,0.6,71.6,50,118.24485159540957,5560,1,818.7753986356606,8271.795410429751,Normal_Operation
3:03,0,71.6,50,119.00700452362715,5560,1,726.3966631516819,8364.174145913732,Normal_Operation
3:04,0,71.6,50,119.76911863705682,5560,1,634.0226323154076,8456.548176750004,Normal_Operation
3:05,0,71.6,50,120.53119393767534,5560,1,541.6533058872413,8548.91750317817,Normal_Operation
3:06,0,71.6,50,121.29323042745935,5560,1,449.28868362759886,8641.282125437812,Normal_Operation
3:07,0,71.6,50,122.05522810838542,5560,1,356.9287652969043,8733.642043768506,Normal_Operation
3:08,0,71.6,50,122.81718698242999,5560,1,264.5735506555992,8825.997258409812,Normal_Operation
3:09,0,71.6,50,123.57910705156942,5560,1,172.22303946413183,8918.34776960128,Normal_Operation
3:10,0,71.6,50,124.34098831777995,5560,1,79.87723148296952,9010.693577582444,Normal_Operation
3:11,0,71.6,50,125.10283078303772,0,0,-12.46387352741354,9103.034682592825,Shed
3:12,0,71.6,50,125.10010600044853,0,0,-12.133609139863136,9102.704418205276,Shed
3:13,0,71.6,50,125.0973813566266,0,0,-11.80336157195936,9102.37417063737,Shed
3:14,0.6,71.6,50,124.19348827528532,0,0,97.75535922480374,8992.815449840607,Shed
3:15,0.2,71.6,50,123.89403585042746,0,0,134.0512721863601,8956.519536879054,Shed
3:16,0.32,71.6,50,123.41845079968752,0,0,191.69579991281836,8898.875009152596,Shed
3:17,0.32,71.6,50,122.94593371378264,0,0,248.96846695163947,8841.602342113774,Shed
3:18,0.32,71.6,50,122.47646480149311,0,0,305.87167214927786,8784.699136916133,Shed
3:19,0.32,71.6,50,122.01002439927097,0,0,362.40779887740126,8728.163010188011,Shed
3:20,0.32,71.6,50,121.54659297041636,0,0,418.5792151327249,8671.991593932686,Shed
3:21,0.32,71.6,50,121.08615110425926,0,0,474.3882736361825,8616.18253542923,Shed
3:22,0.32,71.6,50,120.62867951534652,0,0,529.8373119314747,8560.733497133937,Shed
3:23,0.32,71.6,50,120.17415904263402,0,0,584.9286524829798,8505.642156582433,Shed
3:24,0.32,71.6,50,119.72257064868415,0,0,639.6646027730245,8450.906206292388,Shed
3:25,0.32,71.6,50,119.27389541886846,0,0,694.0474553985343,8396.523353666877,Shed
3:26,0.32,71.6,50,118.82811456057537,0,0,748.0794881670583,8342.491320898354,Shed
3:27,0.32,71.6,50,118.38520940242313,0,0,801.7629641921687,8288.807844873245,Shed
3:28,0.32,71.6,50,117.94516139347768,0,0,855.1001319882606,8235.470677077152,Shed
3:29,0.32,71.6,50,117.50795210247568,0,0,908.0932255647258,8182.477583500687,Shed
3:30,0.32,71.6,50,117.07356321705262,0,0,960.744464519517,8129.826344545895,Shed
3:31,0.32,71.6,50,116.64197654297568,0,0,1013.056054132123,8077.514754933288,Shed
3:32,0.32,71.6,50,116.21317400338172,0,0,1065.030185455936,8025.540623609475,Shed
3:33,0.32,71.6,50,115.78713763802014,0,0,1116.6690354100203,7973.90177365539,Shed
3:34,0.32,71.6,50,115.36384960250061,0,0,1167.974766870294,7922.596042195119,Shed
3:35,0.32,71.6,50,114.94329216754572,0,0,1218.9495287601114,7871.621280305302,Shed
3:36,0.32,71.6,50,114.52544771824832,0,0,1269.5954561402848,7820.975352925127,Shed
3:37,0.4,71.6,50,114.00705803698455,0,0,1332.42823086318,7758.142578202231,Shed
3:38,0.4,71.6,50,113.49284187362778,0,0,1394.7551434519883,7695.8156656134215,Shed
3:39,0.4,71.6,50,112.98276562748657,0,0,1456.5802665662409,7633.990542499171,Shed
